ENDTIME_us,TASK,PID,TYPE,BYTES,OFFSET_b,LATENCY_us,FILE
1383474811958,git,67521,R,581,3377980741,1567,tmp_pack_YhEcHg
1383474816029,git,67521,R,385,3377983217,3672,tmp_pack_YhEcHg
1383474892806,git,67521,R,34,1163638201,1189,tmp_pack_YhEcHg
1383474901708,git,67521,R,91,1165668099,7562,tmp_pack_YhEcHg
1383474901795,git,67521,R,65536,1165214446,7253,tmp_pack_YhEcHg
1383474905830,git,67521,R,25,1168099937,1507,tmp_pack_YhEcHg
1383474909815,git,67521,R,40,1184324753,1478,tmp_pack_YhEcHg
1383474910877,git,67521,R,63034,1181467369,1065,tmp_pack_YhEcHg
1383474911823,git,67521,R,58,1185634637,1437,tmp_pack_YhEcHg
1383474948238,git,67521,R,23576,1197195355,26135,tmp_pack_YhEcHg
1383474948270,git,67521,R,341,1197322220,26342,tmp_pack_YhEcHg
1383475059089,git,67521,R,29,1206928988,3105,tmp_pack_YhEcHg
1383475136029,git,67521,R,573,1216498576,3845,tmp_pack_YhEcHg
1383475194303,git,67521,R,62686,1242762040,1411,tmp_pack_YhEcHg
1383475195371,git,67521,R,13618,1243233338,1093,tmp_pack_YhEcHg
1383475197403,git,67521,R,65536,1243246959,1386,tmp_pack_YhEcHg
1383475199730,git,67521,R,87,1245516773,1150,tmp_pack_YhEcHg
1383475209005,git,67521,R,645,3199472295,5665,tmp_pack_YhEcHg
1383475219995,git,67521,R,459,3121552436,1454,tmp_pack_YhEcHg
1383475224030,git,67521,R,199,1251975199,3211,tmp_pack_YhEcHg
1383475236022,git,67521,R,33,1262552340,1924,tmp_pack_YhEcHg
1383475260513,git,67521,R,5077,3060714407,2114,tmp_pack_YhEcHg
1383475468030,git,67521,R,21090,1267005308,3981,tmp_pack_YhEcHg
1383475506894,git,67521,R,600,3338448300,3288,tmp_pack_YhEcHg
1383475508024,git,67521,R,39,3378050318,1147,tmp_pack_YhEcHg
1383475528036,git,67521,R,65536,1273934521,2767,tmp_pack_YhEcHg
1383475542170,git,67521,R,355,1277242884,3475,tmp_pack_YhEcHg
1383475542331,git,67521,R,39,1289023289,3577,tmp_pack_YhEcHg
1383475557547,git,67521,R,15825,1340593463,1261,tmp_pack_YhEcHg
1383475561648,git,67521,R,61434,1340532023,3880,tmp_pack_YhEcHg
1383475575366,git,67521,R,5579,1368272546,1494,tmp_pack_YhEcHg
1383475588952,git,67521,R,771,3285789100,1467,tmp_pack_YhEcHg
1383475589395,git,67521,R,467,3282176828,2447,tmp_pack_YhEcHg
1383475658095,git,67521,R,1883,3615582326,1518,tmp_pack_YhEcHg
1383475660030,git,67521,R,2637,3615584243,1952,tmp_pack_YhEcHg
1383476046845,git,67521,R,620,1386990505,1460,tmp_pack_YhEcHg
1383476052033,git,67521,R,1011,1387000231,4011,tmp_pack_YhEcHg
1383476153556,git,67521,R,98,1402947119,1040,tmp_pack_YhEcHg
1383476190341,git,67521,R,110,3029058008,1666,tmp_pack_YhEcHg
1383476192912,git,67521,R,65536,1421418470,1323,tmp_pack_YhEcHg
1383476194079,git,67521,R,65536,1421542809,1200,tmp_pack_YhEcHg
1383476198502,git,67521,R,42,1423184681,2410,tmp_pack_YhEcHg
1383476198689,git,67521,R,29,1422168762,3640,tmp_pack_YhEcHg
1383476202796,git,67521,R,86,1425806239,1648,tmp_pack_YhEcHg
1383476204028,git,67521,R,808,3199683156,1247,tmp_pack_YhEcHg
1383476246381,git,67521,R,56,1429968666,1022,tmp_pack_YhEcHg
1383476260030,git,67521,R,54,1455334003,1415,tmp_pack_YhEcHg
1383476292288,git,67521,R,35,3162686690,11911,tmp_pack_YhEcHg
1383476292374,git,67521,R,287,3378431797,8529,tmp_pack_YhEcHg
1383476298462,git,67521,R,6448,1460775627,1116,tmp_pack_YhEcHg
1383476300023,git,67521,R,669,1460791191,1572,tmp_pack_YhEcHg
1383476316030,git,67521,R,66,1464413980,2657,tmp_pack_YhEcHg
1383476339220,git,67521,R,56,3405448222,2758,tmp_pack_YhEcHg
1383476352015,git,67521,R,379,1476394760,9143,tmp_pack_YhEcHg
1383476372021,git,67521,R,46,1490645280,1919,tmp_pack_YhEcHg
1383476379394,git,67521,R,2560,3111630501,3461,tmp_pack_YhEcHg
1383476418006,git,67521,R,843,3261517029,1690,tmp_pack_YhEcHg
1383476420027,git,67521,R,40,3616226543,2032,tmp_pack_YhEcHg
1383476454613,git,67521,R,1584,3338728259,1801,tmp_pack_YhEcHg
1383476456032,git,67521,R,74,1502994510,1450,tmp_pack_YhEcHg
1383476526793,git,67521,R,34148,1509260128,1021,tmp_pack_YhEcHg
1383476532197,git,67521,R,40,1511840970,1186,tmp_pack_YhEcHg
1383476533577,git,67521,R,28,1512364772,1284,tmp_pack_YhEcHg
1383476537226,git,67521,R,1901,1513345450,1611,tmp_pack_YhEcHg
1383476538616,git,67521,R,270,1513349948,1652,tmp_pack_YhEcHg
1383476604032,git,67521,R,3431,3616807100,2040,tmp_pack_YhEcHg
1383476637728,git,67521,R,43256,1527489451,1427,tmp_pack_YhEcHg
1383476639595,git,67521,R,61,1527678727,1044,tmp_pack_YhEcHg
1383476641354,git,67521,R,414,1528766433,1435,tmp_pack_YhEcHg
1383476643084,git,67521,R,33,1528781542,1742,tmp_pack_YhEcHg
1383476644958,git,67521,R,260,3098063371,1094,tmp_pack_YhEcHg
1383476646917,git,67521,R,100,3098066889,1971,tmp_pack_YhEcHg
1383476746421,git,67521,R,34,1542646009,2888,tmp_pack_YhEcHg
1383476844031,git,67521,R,985,3668301032,3319,tmp_pack_YhEcHg
1383476867263,git,67521,R,6270,1551478632,1535,tmp_pack_YhEcHg
1383476872028,git,67521,R,1791,3617685972,3837,tmp_pack_YhEcHg
1383476933871,git,67521,R,1322,1559047841,1721,tmp_pack_YhEcHg
1383477107967,git,67521,R,1756,1568862883,1929,tmp_pack_YhEcHg
1383477109047,git,67521,R,163,1569511038,1094,tmp_pack_YhEcHg
1383477118261,git,67521,R,249,1589168727,1784,tmp_pack_YhEcHg
1383477124026,git,67521,R,19,1594742086,2141,tmp_pack_YhEcHg
1383477126700,git,67521,R,829,1595721341,2122,tmp_pack_YhEcHg
1383477129430,git,67521,R,1542,3206875070,1904,tmp_pack_YhEcHg
1383477192388,git,67521,R,43,1603686683,1213,tmp_pack_YhEcHg
